"Titular","Fuente","Posteado","Descripcion","Link"
"Oil Edges Lower Near $61 With Near-Term Demand Concerns in Focus By Bloomberg","Investing.com","4 days ago","Fuel consumption is facing a setback after some countries in Europe extended or reimposed lockdowns,...","https://au.investing.com/news/commodities-news/oil-edges-lower-near-61-with-nearterm-demand-concerns-in-focus-2313948"
"In shift, oil industry group backs federal price on carbon","WHIO-TV 7 Dayton","2 hours ago","WASHINGTON — (AP) — The oil and gas industry's top lobbying group on Thursday endorsed a federal...","https://www.whio.com/news/politics/shift-oil-industry-group-backs-federal-price-carbon/AY7W7URWHBB4Q6T43NMFSQRBC4/"
"Oil giant Saudi Aramco sees 2020 profits halved to $49 billion","MSN News","4 days ago","Saudi Arabia's state-backed oil giant Aramco announced Sunday that its profits nearly halved in 2020...","https://www.msn.com/en-in/money/topstories/oil-giant-saudi-aramco-sees-2020-profits-halved-to-49-billion/ar-BB1eOdzG"
"Explainer Biden Vs Oil","Colorado Springs Gazette","2 days ago","FILE - In this April 24, 2015, file photo, pumpjacks work in a field near Lovington, N.M. President Joe Biden shut down oil and gas lease sales from the...","https://gazette.com/ap/business/explainer-biden-vs-oil/image_3c9d5116-e911-59ff-b6a5-833f8e85cff4.html"
"In shift, oil industry group backs federal price on carbon","WFTV 9 Orlando","3 hours ago","WASHINGTON — (AP) — The oil and gas industry's top lobbying group on Thursday endorsed a federal...","https://www.wftv.com/news/politics/shift-oil-industry/AY7W7URWHBB4Q6T43NMFSQRBC4/"
"In shift, oil industry group backs federal price on carbon","WHIO-TV 7 Dayton","3 hours ago","WASHINGTON — (AP) — The oil and gas industry's top lobbying group on Thursday endorsed a federal...","https://www.whio.com/news/politics/shift-oil-industry/AY7W7URWHBB4Q6T43NMFSQRBC4/"
"In shift, oil industry group backs federal price on carbon","FOX30 / CBS47 Jacksonville","3 hours ago","WASHINGTON — (AP) — The oil and gas industry's top lobbying group on Thursday endorsed a federal...","https://www.actionnewsjax.com/news/politics/shift-oil-industry/AY7W7URWHBB4Q6T43NMFSQRBC4/"
"In shift, oil industry group backs federal price on carbon","WSB-TV 2 Atlanta","3 hours ago","WASHINGTON — (AP) — The oil and gas industry's top lobbying group on Thursday endorsed a federal...","https://www.wsbtv.com/news/politics/shift-oil-industry/AY7W7URWHBB4Q6T43NMFSQRBC4/"
"Explainer Biden Vs Oil","Colorado Springs Gazette","2 days ago","FILE - This April 10, 2011, file photo, shows a rig and supply vessel in the Gulf of Mexico, off the coast of Louisiana. President Joe Biden shut down ...","https://gazette.com/ap/business/explainer-biden-vs-oil/image_0aa05856-a76d-581f-8baf-e805e0824d33.html"
"In shift, oil industry group backs federal price on carbon","WFTV 9 Orlando","3 hours ago","WASHINGTON — (AP) — The oil and gas industry's top lobbying group on Thursday endorsed a federal...","https://www.wftv.com/news/politics/shift-oil-industry-group-backs-federal-price-carbon/AY7W7URWHBB4Q6T43NMFSQRBC4/"
"Canada’s Oil Sands Innovation Alliance and University of Calgary Celebrate Pioneering Wetland...","Digital Journal","15 hours ago","Canada’s Oil Sands Innovation Alliance (COSIA) and the University of Calgary (U of C), today, celebrated a pioneering program in which Dr. Jan Ciborowski has been appointed ...","http://www.digitaljournal.com/pr/5018501"
"Oil Prices Keep Falling Because the Economic Reopening Is Hitting Obstacles","Barrons.com","6 days ago","After rising steadily for weeks, oil prices have reversed this week, falling sharply on Thursday and...","https://www.barrons.com/articles/oil-prices-stocks-exxon-covid-19-51616167772?siteid=yhoof2&yptr=yahoo"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","Chattanooga Times Free Press","4 days ago","Saudi Arabia's state-backed oil giant Aramco announced Sunday that its profits nearly halved in 2020...","https://www.timesfreepress.com/news/breakingnews/story/2021/mar/22/oil-giant-saudi-aramco-sees-2020-profits-drop-49-billion/543663/"
"Oil Price Fundamental Daily Forecast – Technical Rebound, but Gains Capped by European Demand...","FX Empire via Yahoo Finance","5 days ago","U.S. West Texas Intermediate and international-benchmark Brent crude oil futures rose more than 2%...","https://finance.yahoo.com/news/oil-price-fundamental-daily-forecast-100253168.html"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","WKOW 27 Madison","5 days ago","DUBAI, United Arab Emirates (AP) — Saudi Arabia’s state-backed oil giant Aramco says its profits...","https://wkow.com/2021/03/21/oil-giant-saudi-aramco-sees-2020-profits-drop-to-49-billion/"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","WEEK News 25 Central Illinois","5 days ago","DUBAI, United Arab Emirates (AP) — Saudi Arabia’s state-backed oil giant Aramco says that its...","https://week.com/2021/03/21/oil-giant-saudi-aramco-sees-2020-profits-drop-to-49-billion/"
"Oil Correction a 'Blip' Before Travel-Driven Rebound: Analyst Sen","Bloomberg","6 days ago","Amrita Sen, chief oil analyst at Energy Aspects, says ""oil prices will go up"" as the pace of...","https://www.bloomberg.com/news/videos/2021-03-19/oil-correction-a-blip-before-travel-driven-rebound-analyst-video"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","WSYR 9 Syracuse","5 days ago","DUBAI, United Arab Emirates (AP) — Saudi Arabia’s state-backed oil giant Aramco announced Sunday...","https://www.localsyr.com/news/national/oil-giant-saudi-aramco-sees-2020-profits-drop-to-49-billion/"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","WTNH-TV New Haven","5 days ago","DUBAI, United Arab Emirates (AP) — Saudi Arabia’s state-backed oil giant Aramco announced Sunday...","https://www.wtnh.com/news/oil-giant-saudi-aramco-sees-2020-profits-drop-to-49-billion/"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","FOX 23 News Albany","5 days ago","DUBAI, United Arab Emirates (AP) — Saudi Arabia’s state-backed oil giant Aramco announced Sunday...","https://www.news10.com/news/oil-giant-saudi-aramco-sees-2020-profits-drop-to-49-billion/"
"Column: Frothy oil market deflates as virus fears return","Reuters","2 days ago","Oil futures prices have tumbled for the second time in two weeks, skimming some frothiness off the...","https://www.reuters.com/article/us-column-global-oil-kemp-idUSKBN2BF2CB"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","KFDX Wichita Falls","5 days ago","DUBAI, United Arab Emirates (AP) — Saudi Arabia’s state-backed oil giant Aramco announced Sunday...","https://www.texomashomepage.com/news/oil-giant-saudi-aramco-sees-2020-profits-drop-to-49-billion/"
"Texas oil company agrees to fine for Wyoming spill","Houston Chronicle","24 hours ago","A Texas oil company has agreed to pay a $115,000 fine after spilling almost 20,000 gallons (73,000 liters) of wastewater and crude in western Wyoming, federal officials said ...","https://www.chron.com/news/article/Texas-oil-company-agrees-to-fine-for-Wyoming-spill-16050802.php"
"American Petroleum Institute endorses carbon pricing as oil and gas industry faces pressure on...","CNBC","6 hours ago","The oil and gas industry's largest trade group Thursday endorsed a price on planet-warming carbon...","https://www.cnbc.com/2021/03/25/climate-change-american-petroleum-institute-endorses-carbon-pricing.html"
"Oil, natural gas industry to take center stage at Texas Energy Day","Washington Examiner","3 days ago","Thousands of Texans and 50 partners and sponsors will be participating in an annual Texas Energy Day...","https://www.washingtonexaminer.com/politics/oil-natural-gas-industry-to-take-center-stage-at-texas-energy-day"
"UPDATE 5-Oil tumbles 4% on concerns over Europe curbs, rollouts","Investing.com","3 days ago","Oil prices fell more than 4% on Tuesday, hit by concerns over new pandemic curbs and slow vaccine...","https://in.investing.com/news/update-1oil-falls-as-european-coronavirus-curbs-point-to-demand-hit-2657713"
"UPDATE 5-Oil tumbles 4% on concerns over Europe curbs, rollouts","Investing.com","3 days ago","Oil prices fell more than 4% on Tuesday, hit by concerns over new pandemic curbs and slow vaccine...","https://za.investing.com/news/update-1oil-falls-as-european-coronavirus-curbs-point-to-demand-hit-2279478"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","Houston Chronicle","4 days ago","Nearly all of the dividend money goes to the Saudi government, which owns more than 98% of the...","https://www.chron.com/news/article/Oil-giant-Saudi-Aramco-sees-2020-profits-drop-to-16041699.php"
"UPDATE 5-Oil tumbles 4% on concerns over Europe curbs, rollouts By Reuters","Investing.com","3 days ago","Oil prices fell more than 4% on Tuesday, hit by concerns over new pandemic curbs and slow vaccine...","https://ca.investing.com/news/coronavirus/update-1oil-falls-as-european-coronavirus-curbs-point-to-demand-hit-2391333"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","KVOA Tucson","5 days ago","DUBAI, United Arab Emirates (AP) — Saudi Arabia’s state-backed oil giant Aramco says its profits nearly halved in 2020 to $49 billion. Sunday’s announcement of the big drop ...","https://kvoa.com/ap-national-news/2021/03/21/oil-giant-saudi-aramco-sees-2020-profits-drop-to-49-billion/"
"Global Edible Oil Prices Near Their Peak, but Retreat May Be Slow - Analysts","US News & World Report","1 day ago","Global edible oil prices are nearing their peak but may be slow to decline to previous levels due to...","https://money.usnews.com/investing/news/articles/2021-03-24/global-edible-oil-prices-near-their-peak-but-retreat-may-be-slow-analysts"
"3 Energy Stocks to Shop after Oil's Tumble","InvestorPlace","3 days ago","Oil's pain can be your gain. Use this week's whack to enter energy stocks at cheaper prices. Here's how.","https://investorplace.com/2021/03/3-energy-stocks-to-shop-after-oils-tumble/"
"As Europe Tightens Lockdowns, OPEC+ to Keep Oil Taps Tight - Sources","US News & World Report","1 day ago","With oil prices making steady gains earlier this year, OPEC and other producers had hoped to ease...","https://money.usnews.com/investing/news/articles/2021-03-24/as-europe-tightens-lockdowns-opec-to-keep-oil-taps-tight-sources"
"UK seeks to drill more oil and gas from North Sea","BBC News","2 days ago","More oil and gas wells are to be drilled in the North Sea, the UK government has announced. The decision has angered environmental campaigners, who say...","https://www.bbc.com/news/science-environment-56503588"
"Texas oil company agrees to fine for Wyoming spill","Tri-City Herald","1 day ago","A Texas oil company has agreed to pay a $115,000 fine after spilling almost 20,000 gallons of wastewater and crude in western Wyoming, federal officials said Wednesday. The ...","https://www.tri-cityherald.com/news/business/national-business/article250183395.html"
"Oil firms to roll back prices following GCQ modifications","Carmudi via Yahoo News","4 days ago","Based on advisories issued Monday (March 22), Cleanfuel, Pilipinas Shell, Caltex and Petron said...","https://news.yahoo.com/oil-firms-roll-back-prices-000000813.html"
"Oil Edges Lower at the Open After Ending Ugly Week With a Bounce By Bloomberg","Investing.com","5 days ago","Despite the gain in the previous session, crude still capped a significant weekly loss amid a...","https://ca.investing.com/news/commodities-news/oil-edges-lower-at-the-open-afterending-ugly-week-with-a-bounce-2390164"
"As Europe tightens lockdowns, OPEC+ to keep oil taps tight -sources By Reuters","Investing.com","2 days ago","With oil prices making steady gains earlier this year, OPEC and other producers had hoped to ease...","https://uk.investing.com/news/commodities-news/as-europe-tightens-lockdowns-opec-to-keep-oil-taps-tight-sources-2331883"
"In shift, oil industry group backs federal price on carbon","KVOA Tucson","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group has endorsed a federal price on carbon dioxide emissions that contribute to global warming. The move on Thursday ...","https://kvoa.com/ap-national-news/2021/03/25/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"U.S. oil prices gain nearly 6% as a ship blocks passage through the Suez Canal","MarketWatch","1 day ago","U.S. oil futures climbed by almost 6% Wednesday, as a ship that's stuck in Egypt's Suez Canal...","https://www.marketwatch.com/story/us-oil-prices-gain-nearly-6-as-a-ship-blocks-passage-through-the-suez-canal-2021-03-24?siteid=yhoof2&yptr=yahoo"
"In shift, oil industry group backs federal price on carbon","WEEK News 25 Central Illinois","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group has endorsed a federal price on...","https://week.com/2021/03/25/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"In shift, oil industry group backs federal price on carbon","KTTC Rochester","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group has endorsed a federal price on...","https://kttc.com/2021/03/25/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"In shift, oil industry group backs federal price on carbon","Northland's News Center","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group has endorsed a federal price on...","https://kbjr6.com/2021/03/25/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"Oil-friendly states fight back against sustainable investment trend","The Columbian","4 days ago","The mostly GOP lawmakers argue that investment decisions should be made solely based on the likely...","https://www.columbian.com/news/2021/mar/21/oil-friendly-states-fight-back-against-sustainable-investment-trend/"
"Crude Oil Prices Edge Higher After Slump on Mixed Covid Picture By Investing.com","Investing.com","4 days ago","Crude oil prices edged higher on Monday, regaining their footing after a brutal week in which prices...","https://au.investing.com/news/commodities-news/crude-oil-prices-edge-higher-after-slump-on-mixed-covid-picture-2313529"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","The Fresno Bee","5 days ago","Saudi Arabia’s state-backed oil giant Aramco announced Sunday that its profits nearly halved in 2020...","https://www.fresnobee.com/news/article250100819.html"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","Fort Worth Star-Telegram","5 days ago","Saudi Arabia’s state-backed oil giant Aramco announced Sunday that its profits nearly halved in 2020...","https://www.star-telegram.com/news/politics-government/national-politics/article250100819.html"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","Centre Daily Times","5 days ago","Saudi Arabia’s state-backed oil giant Aramco announced Sunday that its profits nearly halved in 2020...","https://www.centredaily.com/news/business/article250100819.html"
"Crude Oil Prices Edge Higher After Slump on Mixed Covid Picture By Investing.com","Investing.com","4 days ago","Crude oil prices edged higher on Monday, regaining their footing after a brutal week in which prices...","https://ng.investing.com/news/commodities-news/crude-oil-prices-edge-higher-after-slump-on-mixed-covid-picture-365922"
"UPDATE 4-Oil tumbles 4% on concerns over Europe curbs, rollouts By Reuters","Investing.com","3 days ago","Oil prices fell more than 4% on Tuesday, hit by concerns over new pandemic curbs and slow vaccine...","https://au.investing.com/news/coronavirus/update-1oil-falls-as-european-coronavirus-curbs-point-to-demand-hit-2314062"
"Largest oil lobby backs carbon pricing in place of tougher regulation","Market Watch","5 hours ago","The stance marks a shift for the oil and gas industry, but is largely positioned as a substitution...","https://www.marketwatch.com/story/largest-oil-lobby-backs-carbon-pricing-in-place-of-tougher-regulation-11616693580"
"U.S. oil activity jumps as executives remain wary of OPEC, Biden - survey","Reuters","1 day ago","While improved oil prices have boosted expectations for 2021, executives are cautious about the...","https://www.reuters.com/article/us-usa-oil-fed-survey-idUSKBN2BG2K4"
"Oil giant Saudi Aramco says profits sharply drop to $49 billion amid coronavirus pandemic","Associated Press via Yahoo News","5 days ago","DUBAI, United Arab Emirates (AP) — Oil giant Saudi Aramco says profits sharply drop to $49 billion amid coronavirus pandemic.","https://news.yahoo.com/oil-giant-saudi-aramco-says-055458083.html"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","seattlepi.com","4 days ago","Nearly all of the dividend money goes to the Saudi government, which owns more than 98% of the company. Aramco's policy to pay dividends significantly higher than its 2020 free cash flow of ...","https://www.seattlepi.com/business/article/Oil-giant-Saudi-Aramco-sees-2020-profits-drop-to-16041699.php"
"Oil giant Saudi Aramco sees 2020 profits drop to $49 billion","San Francisco Chronicle","4 days ago","Nearly all of the dividend money goes to the Saudi government, which owns more than 98% of the company. Aramco's policy to pay dividends significantly higher than its 2020 free cash flow of ...","https://www.sfgate.com/business/article/Oil-giant-Saudi-Aramco-sees-2020-profits-drop-to-16041699.php"
"Michael Rose Is The Chairman of the Board of Tourmaline Oil Corp. (TSE:TOU) And Just Spent CA$238k...","Simply Wall St. via Yahoo Finance","2 days ago","Potential Tourmaline Oil Corp. (TSE:TOU) shareholders may wish to note that the Chairman of the...","https://finance.yahoo.com/news/michael-rose-chairman-board-tourmaline-061445031.html"
"How To - Why Can’t Oil Be Mixed With Water?","LiveScience","1 day ago","The difference between oil and water has generated a large usage of products to bring them together, for example in detergents. Soap is an anionic surfactant, short for surface ...","https://forums.livescience.com/threads/why-can%E2%80%99t-oil-be-mixed-with-water.926/"
"Crude Oil Price Update – Testing Retracement Zone; Strengthens Over $59.58, Weakens Under $57.64","FX Empire via Yahoo Finance","2 days ago","U.S. West Texas Intermediate crude oil futures are edging higher on Wednesday as bargain hunters came in following a test of a value zone on the daily chart. Germany, Europe ...","https://finance.yahoo.com/news/crude-oil-price-testing-retracement-092449818.html"
"Global Edible Oil Prices near Their Peak, but Retreat May be Slow","FX Empire","1 day ago","Malaysian benchmark palm oil futures in mid-March topped 4,000 ringgit ($968.76) a tonne for the...","https://www.fxempire.com/news/article/global-edible-oil-prices-713208"
"In shift, oil industry group backs federal price on carbon","FOX40 Sacramento","2 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group on Thursday endorsed a federal price...","https://fox40.com/news/national-and-world-news/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"In shift, oil industry group backs federal price on carbon","WKOW 27 Madison","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group has endorsed a federal price on...","https://wkow.com/2021/03/25/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"Pandemic Puts Saudi-Kuwaiti Oil Plans On Ice","Oilprice.com via Yahoo Finance","1 day ago","In early 2020, Saudi Arabia and Kuwait were preparing to significantly boost oil production in the so-called neutral zone between the two countries after ending a five-year ...","https://finance.yahoo.com/news/pandemic-puts-saudi-kuwaiti-oil-220000310.html"
"Texas oil company agrees to fine for Wyoming spill","The Rock Hill Herald","22 hours ago","A Texas oil company has agreed to pay a $115,000 fine after spilling almost 20,000 gallons of wastewater and crude in western Wyoming.","https://www.heraldonline.com/news/business/article250183395.html"
"In shift, oil industry group backs federal price on carbon","KSAN - KLST San Angelo","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group on Thursday endorsed a federal price...","https://www.conchovalleyhomepage.com/news/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"Tauber Oil's VP of oil marketing joins Hartree Partners","Reuters","1 day ago","Tauber Oil Co’s vice president of crude oil marketing, Robert Goldsworthy, has left the firm to join Hartree Partners, two sources familiar with the matter ...","https://www.reuters.com/article/us-tauberoil-oil-hartreepartners-idUSKBN2BG375"
"Oil Still on a Bumpy Path to Recovery Despite Price Swerve","Investing.com","4 days ago","Consumption of gasoline, diesel and jet fuel are at the highest in more than a year. U.S. President...","https://in.investing.com/news/oil-still-on-a-bumpy-path-to-recovery-despite-price-swerve-2655769"
"Oil Still on a Bumpy Path to Recovery Despite Price Swerve","Investing.com","4 days ago","Consumption of gasoline, diesel and jet fuel are at the highest in more than a year. U.S. President...","http://in.investing.com/news/oil-still-on-a-bumpy-path-to-recovery-despite-price-swerve-2655769"
"In shift, oil industry group backs federal price on carbon","WFRV 5 Green Bay","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group on Thursday endorsed a federal price...","https://www.wearegreenbay.com/news/national/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"In shift, oil industry group backs federal price on carbon","KOLR - KSFX Ozarks","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group on Thursday endorsed a federal price...","https://www.ozarksfirst.com/local-news/national-news/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"In shift, oil industry group backs federal price on carbon","PAHomePage.com","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group on Thursday endorsed a federal price...","https://www.pahomepage.com/news/national/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"In shift, oil industry group backs federal price on carbon","FOX 23 News Albany","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group on Thursday endorsed a federal price...","https://www.news10.com/news/national/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"In shift, oil industry group backs federal price on carbon","WTVO - WQRF Rockford","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group on Thursday endorsed a federal price...","https://www.mystateline.com/news/politics/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"In shift, oil industry group backs federal price on carbon","CBS 47 Fresno","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group on Thursday endorsed a federal price...","https://www.yourcentralvalley.com/news/u-s-world/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"In shift, oil industry group backs federal price on carbon","NBC 17 Raleigh","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group on Thursday endorsed a federal price...","https://www.cbs17.com/news/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"In shift, oil industry group backs federal price on carbon","KFDX Wichita Falls","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group on Thursday endorsed a federal price...","https://www.texomashomepage.com/news/national/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"Europe’s Oil Demand Outlook Turns Gloomier on Renewed Lockdowns","Bloomberg","2 days ago","The oil demand recovery in Europe, a region that accounts for about 15% of global consumption, looks...","https://www.bloomberg.com/news/articles/2021-03-23/europe-s-oil-demand-outlook-turns-gloomier-on-renewed-lockdowns"
"Closing prices for crude oil, gold and other commodities","U-T San Diego","2 hours ago","Benchmark U.S. crude oil for May delivery fell $2.62 to $58.56 a barrel Thursday. Brent crude oil for May delivery fell $2.46 to $61.95 a barrel. April ...","https://www.sandiegouniontribune.com/business/nation/story/2021-03-25/closing-prices-for-crude-oil-gold-and-other-commodities"
"3 Oil Stocks to Buy After the Selloff","Barrons.com","1 day ago","For investors who are worried they missed the big oil rally, the latest drop in prices may offer another entry point. Oil prices have fallen in the past...","https://www.barrons.com/articles/3-oil-stocks-to-buy-after-the-selloff-51616598809?siteid=yhoof2&yptr=yahoo"
"Texas oil company agrees to fine for Wyoming spill","The Myrtle Beach Sun News","24 hours ago","A Texas oil company has agreed to pay a $115,000 fine after spilling almost 20,000 gallons of wastewater and crude in western Wyoming.","https://www.myrtlebeachonline.com/news/business/national-business/article250183395.html"
"Crude Oil Prices Edge Higher After Slump on Mixed Covid Picture","Investing.com","4 days ago","Crude oil prices edged higher on Monday, regaining their footing after a brutal week in which prices...","http://in.investing.com/news/crude-oil-prices-edge-higher-after-slump-on-mixed-covid-picture-2656768"
"The Only Way Is Up for Oil. Buy the Dip, says Citi.","Barron s Online","6 hours ago","Keep buying the dips in crude oil, say analysts at Citigroup. Oil prices tumbled into correction territory earlier in the week, only to claw back ground...","https://www.barrons.com/articles/citi-says-buy-the-dip-on-oil-because-the-only-way-is-up-for-prices-51616686843"
"A key indicator of oil market sentiment has turned negative for the first time in months, as another...","Business Insider","6 hours ago","Short-term futures contracts on oil are currently worth less than long-term contracts, a market...","https://www.businessinsider.com/oil-market-chart-bearish-demand-covid-cases-third-wave-europe-2021-3"
"Texas oil company agrees to fine for Wyoming spill","The Bellingham Herald","1 day ago","A Texas oil company has agreed to pay a $115,000 fine after spilling almost 20,000 gallons of wastewater and crude in western Wyoming.","https://www.bellinghamherald.com/news/business/national-business/article250183395.html"
"U.S. oil prices gain nearly 6% as a ship blocks passage through the Suez Canal","Market Watch","1 day ago","U.S. oil futures climbed by almost 6% Wednesday, as a ship that's stuck in Egypt's Suez Canal...","https://www.marketwatch.com/story/us-oil-prices-gain-nearly-6-as-a-ship-blocks-passage-through-the-suez-canal-2021-03-24"
"Canadian oil patch braces for more deals after record start to 2021","Reuters via Yahoo News","2 days ago","Mergers and acquisitions in Canada's oil and gas sector had a record start to the year in 2021 as...","https://www.yahoo.com/finance/news/canadian-oil-patch-braces-more-100719666.html"
"Why is Biden halting federal oil and gas sales?","San Mateo Daily Journal","2 days ago","President Joe Biden shut down oil and gas lease sales from the nation's vast public lands and waters in his first days in office, citing worries about...","https://www.smdailyjournal.com/news/national/why-is-biden-halting-federal-oil-and-gas-sales/article_00b3eb3c-8c0f-11eb-8aa2-cbe18df9a581.html"
"Equities, oil prices fall on concerns over Europe COVID-19 surge","StreetInsider","1 day ago","NEW YORK (Reuters) -World equity benchmarks and oil prices drifted lower on Tuesday while safe-haven assets gained as an extended economic lockdown in Germany and U.S. and ...","https://www.streetinsider.com/Market+Check/Equities%2C+oil+prices+fall+on+concerns+over+Europe+COVID-19+surge/18161113.html"
"Marathon Oil (MRO) Down 8.9% Since Last Earnings Report: Can It Rebound?","Zacks via Yahoo Finance","1 day ago","A month has gone by since the last earnings report for Marathon Oil (MRO). Will the recent negative...","https://finance.yahoo.com/news/marathon-oil-mro-down-8-153003383.html"
"Oil Tanker Driver Charged in Highway 166 Crash That Led to Spill in River","Noozhawk","6 days ago","The driver of a tanker truck that crashed on Highway 166 and spilled crude oil into the Cuyama River...","https://www.noozhawk.com/article/oil_tanker_driver_charged_for_highway_166_crash_that_led_to_spill_in_river"
"A GOP bill that aims to protect the oil and gas industry could shutter Barton Springs Pool, Austin...","Austin American-Statesman","8 hours ago","A bill aimed at shielding the Texas oil and gas industry from federal regulation could have a number...","https://www.statesman.com/story/news/environment/2021/03/25/texas-gop-bill-could-close-barton-springs-pool-austin-officials-say/6985837002/"
"UPDATE 7-Oil slides as European lockdowns hurt outlook for demand recovery By Reuters","Investing.com","4 days ago","Oil prices eased further on Monday after a broad sell-off last week, as new European coronavirus...","https://ca.investing.com/news/commodities-news/update-6oil-climbs-on-demand-recovery-expectation-despite-european-lockdowns-2390224"
"US oil lobby endorses carbon pricing to counter 'command and control' climate policies","Washington Examiner","6 hours ago","The American Petroleum Institute endorsed carbon pricing on Thursday, putting the weight of the...","https://www.washingtonexaminer.com/policy/energy/us-oil-lobby-endorses-carbon-pricing-to-counter-command-climate-policies"
"In shift, oil industry group backs federal price on carbon","WCBD-TV Charleston","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group on Thursday endorsed a federal price...","https://www.counton2.com/news/national-news/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"In shift, oil industry group backs federal price on carbon","KAMR Amarillo","3 hours ago","WASHINGTON (AP) — The oil and gas industry’s top lobbying group on Thursday endorsed a federal price...","https://www.myhighplains.com/news/national/in-shift-oil-industry-group-backs-federal-price-on-carbon/"
"State revenue outlook improves with oil price rebound","Fairbanks Daily News-Miner","3 days ago","Alaska’s ride on the oil price rollercoaster should again get a little smoother as markets have recovered quicker than expected from the pandemic but special provisions in ...","https://www.newsminer.com/news/alaska_news/state-revenue-outlook-improves-with-oil-price-rebound/article_8ee1c430-8abe-11eb-8a9f-438ebd42a70d.html"
"U.S. Oil Lobby Backs Carbon Fee as Substitute for Regulation","Bloomberg via Yahoo Finance","6 hours ago","The largest U.S. oil industry lobbying group cast its support for a so-called carbon price as part...","https://finance.yahoo.com/news/u-oil-lobby-backs-carbon-160000708.html"
"Former Glencore Oil Trader Charged With Manipulation of Fuel Prices","The Wall Street Journal","2 days ago","WASHINGTON—A former oil trader at mining company Glencore PLC was charged with manipulating fuel oil...","https://www.wsj.com/articles/former-glencore-oil-trader-charged-with-manipulation-of-fuel-prices-11616512779"
"Energy Transition Risks Political Strife in Oil-Producing States: Report","US News & World Report","18 hours ago","The transition towards green energy imperils oil-producing states that have lagged in diversifying...","https://money.usnews.com/investing/news/articles/2021-03-25/energy-transition-risks-political-strife-in-oil-producing-states-report"
"Crude Oil Price Forecast – Crude Oil Markets Get Hammered Again","FX Empire via Yahoo Finance","2 days ago","The West Texas Intermediate Crude Oil market has broken down significantly during the trading...","https://finance.yahoo.com/news/crude-oil-price-forecast-crude-154518616.html"
"Texas oil company agrees to fine for Wyoming spill","Fort Worth Star-Telegram","24 hours ago","A Texas oil company has agreed to pay a $115,000 fine after spilling almost 20,000 gallons of wastewater and crude in western Wyoming.","https://www.star-telegram.com/news/state/texas/article250183395.html"
"Texas oil company agrees to fine for Wyoming spill","The Biloxi Sun Herald","24 hours ago","A Texas oil company has agreed to pay a $115,000 fine after spilling almost 20,000 gallons of wastewater and crude in western Wyoming.","https://www.sunherald.com/news/business/article250183395.html"
